,ort,plz,vorwahl
3208,Eurasburg,82547,08171
3209,Euscheid,54597,06556
3210,Euskirchen,53879,02251
3211,Euskirchen,53881,02251
3212,Eußenheim,97776,09350
3213,Eußerthal,76857,06345
3214,Eutin,23701,04521
3215,Eutingen im Gäu,72184,07483
3216,Eversmeer,26556,04975
3217,Everswinkel,48351,02526
3218,Evessen,38173,05333
3219,Ewighausen,56244,02666
3220,Extertal,32699,05262
3221,Eydelstedt,49406,05442
3222,Eyendorf,21376,04172
3223,Eystrup,27324,04254
3224,Fachbach,56133,02603
3225,Fahrdorf,24857,04621
3226,Fahren,24253,04348
3227,Fahrenbach,74864,06267
3228,Fahrenkrug,23795,04551
3229,Fahrenwalde,17309,03973
3230,Fahrenzhausen,85777,08133
3231,Faid,56814,02671
3232,Falkenberg,84326,08727
3233,Falkenberg,95685,09637
3234,Falkenberg,16259,033368
3235,Falkenberg/Elster,4895,Error
3236,Falkenfels,94350,09964
3237,Falkenhagen (Mark),15306,03346
3238,Falkensee,14612,03322
3239,Falkenstein,93167,09462
3240,Falkenstein,67808,06357
3241,Falkenstein/Harz,6333,Error
3242,Falkenstein/Harz,6463,Error
3243,Falkenstein/Harz,6543,06145
3244,Falkenstein/Vogtland,8223,08141
3245,Falkenstein/Vogtland,8239,08847
3246,Fambach,98597,036848
3247,Farchant,82490,08821
3248,Fargau-Pratjau,24256,04303
3249,Farnstädt,6279,Error
3250,Farschweiler,54317,06500
3251,Farven,27446,04284
3252,Faßberg,29328,05055
3253,Faulbach,97906,09392
3254,Faulenrost,17139,03994
3255,Fedderingen,25779,04836
3256,Fehl-Ritzhausen,56472,02661
3257,Fehmarn,23769,04371
3258,Fehrbellin,16818,033920
3259,Fehrbellin,16833,033922
3260,Fehrbellin,16845,033978
3261,Feichten an der Alz,84550,08634
3262,Feilbingert,67824,06708
3263,Feilitzsch,95183,09295
3264,Feilsdorf,54636,06561
3265,Feldafing,82340,08157
3266,Feldatal,36325,06637
3267,Feldberg,79868,07655
3268,Feldberger Seenlandschaft,17258,03964
3269,Felde,24242,04340
3270,Feldhorst,23858,04533
3271,Feldkirchen,94351,09420
3272,Feldkirchen,85622,08106
3273,Feldkirchen-Westerham,83620,08063
3274,Felixsee,3130,05136
3275,Fell,54341,06502
3276,Fellbach,70734,0711
3277,Fellbach,70736,0711
3278,Fellen,97778,09356
3279,Fellheim,87748,08335
3280,Felm,24161,04349
3281,Felm,24214,04346
3282,Felm,24244,04346
3283,Felsberg,34587,05662
3284,Fensdorf,57580,02747
3285,Fensterbach,92269,09438
3286,Ferdinandshof,17379,039778
3287,Ferna,37339,03605
3288,Fernwald,35463,06404
3289,Ferschweiler,54668,06523
3290,Feucht,90537,09128
3291,Feuchtwangen,91555,09855
3292,Feuerscheid,54597,06556
3293,Feusdorf,54584,06597
3294,Fichtelberg,95686,09272
3295,Fichtenau,74579,07962
3296,Fichtenberg,74427,07971
3297,Fichtenhöhe,15306,03346
3298,Fichtwald,4936,Error
3299,Fiefbergen,24217,04344
3300,Fiersbach,57635,02686
3301,Filderstadt,70794,0711
3302,Filderstadt,71111,07157
3303,Filsen,56341,06773
3304,Filsum,26849,04957
3305,Filz,56766,02676
3306,Fincken,17209,Error
3307,Finkenbach-Gersweiler,67822,06362
3308,Finkenthal,17179,039971
3309,Finne,6647,Error
3310,Finneland,6647,Error
3311,Finnentrop,57413,02722
3312,Finning,86923,08806
3313,Finningen,89435,09074
3314,Finsing,85464,08123
3315,Finsterwalde,3238,Error
3316,Fintel,27389,04265
3317,Firrel,26835,04946
3318,Fisch,54439,06581
3319,Fischach,86850,08236
3320,Fischbach,55743,06781
3321,Fischbach,67693,06303
3322,Fischbachau,83730,08028
3323,Fischbach bei Dahn,66996,06393
3324,Fischbach-Oberraden,54675,06522
3325,Fischbachtal,64405,06166
3326,Fischen im Allgäu,87538,08326
3327,Fischerbach,77716,07832
3328,Fischingen,79592,07628
3329,Fitzbek,25579,04877
3330,Fitzen,21514,04155
3331,Flachslanden,91604,09829
3332,Flacht,65558,06432
3333,Fladungen,97650,09778
3334,Flammersfeld,57632,02685
3335,Flechtingen,39345,039054
3336,Flechtingen,39356,039055
3337,Flechtingen,39359,039057
3338,Fleckeby,24357,04354
3339,Flein,74223,07131
3340,Fleischwangen,88373,07505
3341,Flemlingen,76835,06323
3342,Flensburg,24937,0461
3343,Flensburg,24939,0461
3344,Flensburg,24941,0461
3345,Flensburg,24943,0461
3346,Flensburg,24944,0461
3347,Fleringen,54597,06556
3348,Flieden,36103,06669
3349,Fließem,54636,06561
3350,Flieth-Stegelitz,17268,039886
3351,Flintbek,24220,04347
3352,Flintsbach am Inn,83126,08034
3353,Flöha,9557,Error
3354,Floh-Seligenthal,98593,03683
3355,Flomborn,55234,06737
3356,Flonheim,55237,06734
3357,Flörsbachtal,63639,06057
3358,Flörsheim,65439,06145
3359,Flörsheim-Dalsheim,67592,06243
3360,Florstadt,61197,06035
3361,Floß,92685,09603
3362,Flossenbürg,92696,09603
3363,Flöthe,38312,05334
3364,Fluorn-Winzeln,78737,07402
3365,Flußbach,54516,06571
3366,Fluterschen,57614,02684
3367,Fockbek,24787,04331
3368,Föckelberg,66887,06381
3369,Fockendorf,4617,Error
3370,Föhrden-Barl,25563,04822
3371,Föhren,54343,06502
3372,Fohren-Linden,55777,Error
3373,Forbach,76596,07223
3374,Forchheim,91301,09191
3375,Forchheim,79362,07642
3376,Forchtenberg,74670,07947
3377,Forheim,86735,09089
3378,Föritztal,96524,Error
3379,Forst,57537,02742
3380,Forst,76694,07251
3381,Forst an der Weinstraße,67147,06326
3382,Forst (Eifel),56754,02672
3383,Forstern,85659,08124
3384,Forst (Hunsrück),56858,Error
3385,Forstinning,85661,08124
3386,Forst (Lausitz) - Baršć,3149,Error
3387,Forstmehren,57635,02686
3388,Framersheim,55234,06737
3389,Frammersbach,97833,09355
3390,Frankelbach,67737,06308
3391,Frankenau,35110,06455
3392,Frankenberg (Eder),35066,06451
3393,Frankenberg/Sachsen,9669,Error
3394,Frankenblick,96528,036766
3395,Frankendorf,99441,036454
3396,Frankeneck,67468,06329
3397,Frankenfeld,27336,05165
3398,Frankenhardt,74586,07959
3399,Frankenheim/Rhön,98634,036941
3400,Frankenroda,99826,036924
3401,Frankenstein,67468,06329
3402,Frankenthal,1909,Error
3403,Frankenthal (Pfalz),67227,06233
3404,Frankenwinheim,97447,09382
3405,Frankfurt am Main,60306,069
3406,Frankfurt am Main,60308,069
3407,Frankfurt am Main,60310,069
3408,Frankfurt am Main,60311,069
3409,Frankfurt am Main,60312,069
3410,Frankfurt am Main,60313,069
3411,Frankfurt am Main,60314,069
3412,Frankfurt am Main,60315,069
3413,Frankfurt am Main,60316,069
3414,Frankfurt am Main,60318,069
3415,Frankfurt am Main,60320,069
3416,Frankfurt am Main,60322,069
3417,Frankfurt am Main,60323,069
3418,Frankfurt am Main,60325,069
3419,Frankfurt am Main,60326,069
3420,Frankfurt am Main,60327,069
3421,Frankfurt am Main,60329,069
3422,Frankfurt am Main,60385,069
3423,Frankfurt am Main,60386,069
3424,Frankfurt am Main,60388,069
3425,Frankfurt am Main,60389,069
3426,Frankfurt am Main,60431,069
3427,Frankfurt am Main,60433,069
3428,Frankfurt am Main,60435,069
3429,Frankfurt am Main,60437,069
3430,Frankfurt am Main,60438,069
3431,Frankfurt am Main,60439,069
3432,Frankfurt am Main,60486,069
3433,Frankfurt am Main,60487,069
3434,Frankfurt am Main,60488,069
3435,Frankfurt am Main,60489,069
3436,Frankfurt am Main,60528,069
3437,Frankfurt am Main,60529,069
3438,Frankfurt am Main,60549,069
3439,Frankfurt am Main,60594,069
3440,Frankfurt am Main,60596,069
3441,Frankfurt am Main,60598,069
3442,Frankfurt am Main,60599,069
3443,Frankfurt am Main,65929,069
3444,Frankfurt am Main,65931,069
3445,Frankfurt am Main,65933,069
3446,Frankfurt am Main,65934,069
3447,Frankfurt am Main,65936,069
3448,Frankfurt (Oder),15230,0335
3449,Frankfurt (Oder),15232,0335
3450,Frankfurt (Oder),15234,0335
3451,Frankfurt (Oder),15236,0335
3452,Fränkisch-Crumbach,64407,06164
3453,Frankweiler,76833,06345
3454,Franzburg,18461,038324
3455,Franzenheim,54316,06588
3456,Frasdorf,83112,08052
3457,Frauenau,94258,09926
3458,Frauenberg,55776,06783
3459,Frauendorf,1945,Error
3460,Frauenneuharting,83553,08092
3461,Frauenprießnitz,7774,07807
3462,Frauenstein,9623,09573
3463,Fraunberg,85447,08762
3464,Fraureuth,8427,Error
3465,Frechen,50226,02234
3466,Freckenfeld,76872,06349
3467,Fredeburg,23909,04541
3468,Fredenbeck,21717,04149
3469,Freden (Leine),31084,05184
3470,Fredersdorf-Vogelsdorf,15370,033439
3471,Fredesdorf,23826,04558
3472,Freiamt,79348,07645
3473,Freiberg,9599,Error
3474,Freiberg am Neckar,71691,07141
3475,Freiburg (Elbe),21729,04779
3476,Freiburg im Breisgau,79098,0761
3477,Freiburg im Breisgau,79100,0761
3478,Freiburg im Breisgau,79102,0761
3479,Freiburg im Breisgau,79104,0761
3480,Freiburg im Breisgau,79106,0761
3481,Freiburg im Breisgau,79108,0761
3482,Freiburg im Breisgau,79110,0761
3483,Freiburg im Breisgau,79111,0761
3484,Freiburg im Breisgau,79112,0761
3485,Freiburg im Breisgau,79114,0761
3486,Freiburg im Breisgau,79115,0761
3487,Freiburg im Breisgau,79117,0761
3488,Freienbessingen,99713,036020
3489,Freienhagen,37318,036083
3490,Freienorla,7768,Error
3491,Freiensteinau,36399,06666
3492,Freienwill,24991,04633
3493,Freigericht,63579,06055
3494,Freihung,92271,09646
3495,Freilassing,83395,08654
3496,Frei-Laubersheim,55546,0671
3497,Freilingen,56244,02666
3498,Freimersheim,55234,06737
3499,Freimersheim (Pfalz),67482,06347
3500,Freinsheim,67098,06322
3501,Freinsheim,67251,06353
3502,Freirachdorf,56244,02666
3503,Freisbach,67361,06344
3504,Freisen,66629,06857
3505,Freising,85354,08161
3506,Freising,85356,08161
3507,Freistatt,27259,04274
3508,Freital,1705,Error
3509,Frellstedt,38373,05355
3510,Fremdingen,86742,09086
3511,Frensdorf,96158,09502
3512,Freren,49832,05902
3513,Fresenburg,49762,05933
3514,Fresendelf,25876,04884
3515,Frestedt,25727,04830
3516,Frettenheim,67596,06244
3517,Fretterode,37318,036083
3518,Freudenberg,57258,0271
3519,Freudenberg,97896,09377
3520,Freudenberg,92272,09621
3521,Freudenburg,54450,06582
3522,Freudenstadt,72250,07441
3523,Freudental,74392,07143
3524,Freyburg (Unstrut),6632,Error
3525,Freystadt,92342,09179
3526,Freyung,94078,08551
3527,Frickenhausen,72636,07025
3528,Frickenhausen a.Main,97252,09331
3529,Frickingen,88699,07554
3530,Fridingen an der Donau,78567,07463
3531,Fridolfing,83413,08684
3532,Friedberg,61169,06031
3533,Friedberg,86316,0821
3534,Friedeburg,26446,04465
3535,Friedelshausen,98634,036941
3536,Friedelsheim,67159,06322
3537,Friedenfels,95688,09683
3538,Friedenweiler,79877,07651
3539,Friedewald,36289,06674
3540,Friedewald,57520,02747
3541,Friedland,15848,03366
3542,Friedland,37133,05509
3543,Friedland,17098,039601
3544,Friedrichroda,99894,03623
3545,Friedrichsdorf,61273,06081
3546,Friedrichsdorf,61381,06175
3547,Friedrichsgabekoog,25764,04833
3548,Friedrichsgraben,24799,04624
3549,Friedrichshafen,88045,07541
3550,Friedrichshafen,88046,07541
3551,Friedrichshafen,88048,07541
3552,Friedrichsholm,24799,04624
3553,Friedrichskoog,25718,04854
3554,Friedrichsruhe,19089,0385
3555,Friedrichstadt,25840,04881
3556,Friedrichsthal,66299,06897
3557,Friedrichswalde,16247,033361
3558,Friedrich-Wilhelm-Lübke-Koog,25924,04668
3559,Frielendorf,34621,05684
3560,Friemar,99869,036202
3561,Friesack,14662,033235
3562,Friesenhagen,51598,02294
3563,Friesenheim,77948,07821
3564,Friesenheim,55278,06138
3565,Friesenried,87654,08347
3566,Friesoythe,26169,04491
3567,Friolzheim,71292,07044
3568,Frittlingen,78665,07426
3569,Fritzlar,34560,05683
3570,Frohburg,4654,Error
3571,Fröhnd,79677,07673
3572,Frohnhofen,66903,06386
3573,Fröndenberg/Ruhr,58730,02373
3574,Fronhausen,35112,06426
3575,Fronhofen,55471,06761
3576,Fronreute,88273,07505
3577,Frontenhausen,84160,08722
3578,Frücht,56132,02603
3579,Fuchshofen,53533,02693
3580,Fuchsmühl,95689,09634
3581,Fuchsstadt,97727,09732
3582,Fuchstal,86925,08243
3583,Fuhlendorf,18356,038231
3584,Fuhlendorf,24649,04192
3585,Fuhlenhagen,21493,04151
3586,Fulda,36037,0661
3587,Fulda,36039,0661
3588,Fulda,36041,0661
3589,Fulda,36043,0661
3590,Fuldabrück,34277,0561
3591,Fuldatal,34127,0561
3592,Fuldatal,34233,05607
3593,Fünfseen,17213,039932
3594,Fünfstetten,86681,09091
3595,Fürfeld,55546,0671
3596,Fürstenau,49584,05901
3597,Fürstenberg,37699,05271
3598,Fürstenberg/Havel,16798,033093
3599,Fürsteneck,94142,08505
3600,Fürstenfeldbruck,82256,08141
3601,Fürstenstein,94538,08544
3602,Fürstenwalde/Spree,15517,03361
3603,Fürstenzell,94081,08542
3604,Furth,84095,08708
3605,Fürth,90762,0911
3606,Fürth,90763,0911
3607,Fürth,90765,0911
3608,Fürth,90766,0911
3609,Fürth,90768,0911
3610,Fürth,64658,Error
3611,Fürthen,57539,02682
3612,Furth im Wald,93437,09973
3613,Furtwangen im Schwarzwald,78120,07722
3614,Füssen,87629,08362
3615,Fußgönheim,67136,06237
3616,Gablenz - Jabłońc,2953,Error
3617,Gablingen,86456,08230
3618,Gabsheim,55288,06734
3619,Gachenbach,86565,08259
3620,Gackenbach,56412,06485
3621,Gadebusch,19205,03886
3622,Gädheim,97503,09727
3623,Gägelow,23968,03841
3624,Gaggenau,76571,07225
3625,Gaiberg,69251,06223
3626,Gaienhofen,78343,07735
3627,Gaildorf,74405,07971
3628,Gailingen am Hochrhein,78262,Error
3629,Gaimersheim,85080,08458
3630,Gaißach,83674,08041
3631,Galenbeck,17099,039607
3632,Galenberg,56651,02636
3633,Gallin,19258,038847
3634,Gallin-Kuppentin,19386,038731
3635,Gallmersgarten,91605,09843
3636,Galmsbüll,25899,04661
3637,Gamlen,56761,02653
3638,Gammelby,24340,04351
3639,Gammelin,19230,038852
3640,Gammelsdorf,85408,08766
3641,Gammelshausen,73108,07164
3642,Gammertingen,72501,07574
3643,Ganderkesee,27777,04222
3644,Gandesbergen,27324,04254
3645,Gangelt,52538,02454
3646,Gangkofen,84140,08722
3647,Gangloffsömmern,99634,036376
3648,Ganzlin,19395,038735
3649,Gappenach,56294,02605
3650,Garbsen,30823,05131
3651,Garbsen,30826,05131
3652,Garbsen,30827,05131
3653,Garching an der Alz,84518,08634
3654,Garching bei München,85748,089
3655,Gardelegen,39638,03907
3656,Gardelegen,39646,039006
3657,Gardelegen,39649,039082
3658,Garding,25836,Error
3659,Garlstorf,21376,04172
3660,Garmisch-Partenkirchen,82467,08821
3661,Garmisch-Partenkirchen,82475,08821
3662,Garrel,49681,04495
3663,Gars am Inn,83536,08073
3664,Gars am Inn,83546,08073
3665,Gars am Inn,83555,08073
3666,Gars am Inn,83559,08073
3667,Garstedt,21441,04172
3668,Gartow,29471,05846
3669,Gärtringen,71116,07034
3670,Gartz (Oder),16307,033332
3671,Garz,17419,038378
3672,Garzau-Garzin,15345,03341
3673,Garz/Rügen,18574,038306
3674,Gattendorf,95185,09281
3675,Gau-Algesheim,55435,Error
3676,Gau-Bickelheim,55599,06701
3677,Gau-Bischofsheim,55296,06138
3678,Gauern,7580,Error
3679,Gauersheim,67294,06352
3680,Gäufelden,71126,07032
3681,Gaugrehweiler,67822,06362
3682,Gau-Heppenheim,55234,06737
3683,Gaukönigshofen,97253,09337
3684,Gau-Odernheim,55239,06733
3685,Gaushorn,25782,04838
3686,Gauting,82131,089
3687,Gau-Weinheim,55578,06732
3688,Gebenbach,92274,09622
3689,Gebesee,99189,036201
3690,Gebhardshain,57580,02747
3691,Gebroth,55595,0671
3692,Gebsattel,91607,09861
3693,Gechingen,75391,07056
3694,Gedern,63688,06045
3695,Geeste,49744,05963
3696,Geesthacht,21502,04152
3697,Geestland,27607,04743
3698,Geestland,27624,04745
3699,Gefell,54552,06592
3700,Gefell,7926,07683
3701,Gefrees,95482,09273
3702,Gehlert,57627,02662
3703,Gehlsbach,19386,038731
3704,Gehlweiler,55490,06765
3705,Gehofen,6571,06192
3706,Gehrde,49596,05494
3707,Gehrden,30989,05108
3708,Gehrweiler,67724,06302
3709,Geichlingen,54675,06522
3710,Geiersthal,94244,09921
3711,Geilenkirchen,52511,02451
3712,Geilnau,56379,02604
3713,Geisa,36419,036967
3714,Geiselbach,63826,06029
3715,Geiselberg,67715,06307
3716,Geiselhöring,94333,09420
3717,Geiselwind,96160,09555
3718,Geisenfeld,85290,08452
3719,Geisenhain,7646,07245
3720,Geisenhausen,84144,08743
3721,Geisenheim,65366,06722
3722,Geisfeld,54413,06503
3723,Geisig,56357,06772
3724,Geisingen,78187,07708
3725,Geisleden,37308,036082
3726,Geislingen,72351,07428
3727,Geislingen an der Steige,73312,07331
3728,Geismar,37308,036082
3729,Geithain,4643,Error
3730,Gelbensande,18182,0381
3731,Gelchsheim,97255,09337
3732,Geldern,47608,02831
3733,Geldersheim,97505,09721
3734,Gelenau/Erzgebirge,9423,09942
3735,Gelenberg,53539,02692
3736,Gelnhausen,63571,06051
3737,Gelnhausen,63589,06051
3738,Gelsenkirchen,45879,0209
3739,Gelsenkirchen,45881,0209
3740,Gelsenkirchen,45883,0209
3741,Gelsenkirchen,45884,0209
3742,Gelsenkirchen,45886,0209
3743,Gelsenkirchen,45888,0209
3744,Gelsenkirchen,45889,0209
3745,Gelsenkirchen,45891,0209
3746,Gelsenkirchen,45892,0209
3747,Gelsenkirchen,45894,0209
3748,Gelsenkirchen,45896,0209
3749,Gelsenkirchen,45897,0209
3750,Gelsenkirchen,45899,0209
3751,Geltendorf,82269,08193
3752,Gelting,24395,04643
3753,Geltorf,24884,04624
3754,Gemmerich,56357,06772
3755,Gemmingen,75050,07267
3756,Gemmrigheim,74376,07143
3757,Gemünd,54673,06564
3758,Gemünden,56459,02663
3759,Gemünden,55490,06765
3760,Gemünden am Main,97737,09351
3761,Gemünden (Felda),35329,06634
3762,Gemünden (Wohra),35285,06453
3763,Genderkingen,86682,09090
3764,Gengenbach,77723,07803
3765,Gensingen,55457,06727
3766,Genthin,39291,039225
3767,Genthin,39307,039342
3768,Gentingen,54675,06522
3769,Georgenberg,92697,09658
3770,Georgensgmünd,91166,09172
3771,Georgenthal,99887,036253
3772,Georgsdorf,49828,05946
3773,Georgsmarienhütte,49124,05401
3774,Gera,7545,Error
3775,Gera,7546,Error
3776,Gera,7548,Error
3777,Gera,7549,Error
3778,Gera,7551,Error
3779,Gera,7552,Error
3780,Gera,7554,Error
3781,Gera,7557,Error
3782,Gerabronn,74582,07952
3783,Gerach,96161,09544
3784,Gerach,55743,06781
3785,Geratal,99330,Error
3786,Geratal,99331,Error
3787,Geratskirchen,84552,08728
3788,Gerbach,67813,06361
3789,Gerbershausen,37318,036083
3790,Gerbrunn,97218,0931
3791,Gerbstedt,6347,06181
3792,Gerdau,29581,05808
3793,Gerdshagen,16928,03395
3794,Geretsried,82538,08171
3795,Gerhardsbrunn,66851,06307
3796,Gerhardsbrunn,66894,06372
3797,Gerhardshofen,91466,09163
3798,Gering,56751,02654
3799,Geringswalde,9326,Error
3800,Gerlingen,70839,07156
3801,Germaringen,87656,08341
3802,Germering,82110,089
3803,Germersheim,76726,07274
3804,Gernrode,37339,03605
3805,Gernsbach,76593,07224
3806,Gernsheim,64579,06157
3807,Geroda,97779,09747
3808,Geroda,7819,07462
3809,Geroldsgrün,95179,09267
3810,Geroldshausen,97256,09366
3811,Gerolfingen,91726,09854
3812,Gerolsbach,85302,08445
3813,Gerolsheim,67229,06238
3814,Gerolstein,54568,06591
3815,Gerolzhofen,97447,09382
3816,Gersdorf,9355,Error
3817,Gersfeld (Rhön),36129,06656
3818,Gersheim,66453,06843
3819,Gersten,49838,05904
3820,Gerstenberg,4617,Error
3821,Gerstengrund,36419,036967
3822,Gerstetten,89547,07324
3823,Gersthofen,86368,0821
3824,Gerstungen,99834,036925
3825,Gerswalde,17268,039886
3826,Gertewitz,7389,Error
3827,Gerzen,84175,08741
3828,Geschendorf,23815,04553
3829,Gescher,48712,02542
3830,Gesees,95494,09201
3831,Geseke,59590,02942
3832,Geslau,91608,09867
3833,Gessertshausen,86459,08238
3834,Gestratz,88167,08384
3835,Getelo,49843,05942
3836,Gettorf,24214,04346
3837,Gevelsberg,58285,02332
3838,Gevenich,56825,02678
3839,Gevensleben,38384,05354
3840,Geyer,9468,Error
3841,Giebelstadt,97232,09334
3842,Gieboldehausen,37434,05528
3843,Giekau,24321,04381
3844,Gieleroth,57610,02681
3845,Gielert,54424,06504
3846,Gielow,17139,03994
3847,Giengen an der Brenz,89522,07321
3848,Giengen an der Brenz,89537,07322
3849,Gierschnach,56294,02605
3850,Giershausen,57632,02685
3851,Giersleben,6449,Error
3852,Gierstädt,99100,036206
3853,Giesdorf,54614,06553
3854,Giesen,31180,05066
3855,Giesenhausen,57612,02681
3856,Giesensdorf,23909,04541
3857,Gießen,35390,0641
3858,Gießen,35392,0641
3859,Gießen,35394,0641
3860,Gießen,35396,0641
3861,Gießen,35398,0641
3862,Gifhorn,38518,05371
3863,Gifhorn,38559,05376
3864,Gilching,82205,08105
3865,Gillenbeuren,56825,02678
3866,Gillenfeld,54558,06573
3867,Gilserberg,34630,06696
3868,Gilten,29690,05071
3869,Gilzem,54298,06506
3870,Gimbsheim,67578,06249
3871,Gimbweiler,55767,06782
3872,Gindorf,54657,06563
3873,Gingen an der Fils,73333,07162
3874,Gingst,18569,038305
3875,Ginsheim-Gustavsburg,65462,06144
3876,Ginsweiler,67742,06382
3877,Gipperath,54533,06572
3878,Girkenroth,56459,02663
3879,Girod,56412,06485
3880,Gladbach,54518,06535
3881,Gladbeck,45964,02043
3882,Gladbeck,45966,02041
3883,Gladbeck,45968,02043
3884,Gladenbach,35075,06462
3885,Glanbrücken,66887,06381
3886,Glandorf,49219,05426
3887,Glan-Münchweiler,66907,06383
3888,Glasau,23719,04525
3889,Glasehausen,37308,036082
3890,Glasewitz,18276,03843
3891,Glashütte,1768,Error
3892,Glashütten,61479,06082
3893,Glashütten,95496,09279
3894,Glasin,23992,038422
3895,Glasow,17322,039749
3896,Glattbach,63864,06021
3897,Glatten,72293,07443
3898,Glaubitz,1612,Error
3899,Glauburg,63695,06041
3900,Glauchau,8371,08025
3901,Glees,56653,02636
3902,Gleichen,37130,05508
3903,Gleina,6632,Error
3904,Gleiritsch,92723,09659
3905,Gleißenberg,93477,Error
3906,Gleisweiler,76835,06323
3907,Gleiszellen-Gleishorbach,76889,06349
3908,Glewitz,18513,038334
3909,Glienicke/Nordbahn,16548,033056
3910,Glinde,21509,040
3911,Glonn,85625,08093
3912,Glött,89353,09075
3913,Glottertal,79286,07684
3914,Glowe,18551,038302
3915,Glücksburg,24960,04631
3916,Glückstadt,25348,04124
3917,Glüsing,25779,04836
3918,Gmund,83703,08022
3919,Gnarrenburg,27442,04285
3920,Gneus,7646,07245
3921,Gneven,19065,0385
3922,Gnevkow,17089,03965
3923,Gnewitz,18195,038205
3924,Gnoien,17179,039971
3925,Gnotzheim,91728,09836
3926,Gnutz,24622,04392
3927,Goch,47574,02827
3928,Gochsheim,97469,09723
3929,Göcklingen,76831,06349
3930,Göda - Hodźij,2633,Error
3931,Goddert,56244,02666
3932,Godendorf,17237,039826
3933,Gödenroth,56290,06746
3934,Gödenstorf,21376,04172
3935,Goethestadt Bad Lauchstädt,6246,Error
3936,Göggingen,73571,07175
3937,Göhl,23758,04361
3938,Göhlen,19288,038754
3939,Göhrde,29473,05862
3940,Göhren,18586,038303
3941,Göhren,4603,Error
3942,Göhren-Lebbin,17213,039932
3943,Gohrisch,1824,038462
3944,Gokels,25557,04872
3945,Golchen,17089,03965
3946,Goldbach,63773,06021
3947,Goldbeck,39596,039321
3948,Goldberg,19399,038732
3949,Goldebek,25862,04673
3950,Goldelund,25862,04673
3951,Göldenitz,23919,04544
3952,Goldenstedt,49424,04444
3953,Goldisthal,98746,036870
3954,Goldkronach,95497,09208
3955,Gölenkamp,49843,05942
3956,Gollenberg,55767,06782
3957,Gollenberg,14728,033875
3958,Göllheim,67307,06351
3959,Gollhofen,97258,09339
3960,Göllnitz,4626,Error
3961,Golmbach,37640,05532
3962,Golmsdorf,7751,Error
3963,Golßen,15938,035452
3964,Golzow,14778,03381
3965,Golzow,15328,033472
3966,Gomadingen,72532,07385
3967,Gomaringen,72810,07072
3968,Gommern,39175,039292
3969,Gommern,39245,039200
3970,Gommern,39264,039247
3971,Gommern,39279,039245
3972,Gommern,39291,039225
3973,Gommersheim,67377,06327
3974,Gonbach,67724,06302
3975,Gondelsheim,75053,07252
3976,Gondenbrett,54595,06551
3977,Gondershausen,56283,06742
3978,Gondorf,54647,06565
3979,Gönnebek,24610,04323
3980,Gönnersdorf,53498,02642
3981,Gönnersdorf,54584,06597
3982,Gönnheim,67161,06322
3983,Goosefeld,24340,04351
3984,Göpfersdorf,4618,Error
3985,Göppingen,73033,07161
3986,Göppingen,73035,07161
3987,Göppingen,73037,07161
3988,Göppingen,73116,07161
3989,Gorden-Staupitz,3238,Error
3990,Görgeshausen,56412,06485
3991,Görisried,87657,08302
3992,Göritz,17291,03984
3993,Görkwitz,7907,Error
3994,Gorleben,29475,05882
3995,Görlitz,2826,Error
3996,Görlitz,2827,0421
3997,Görlitz,2828,Error
3998,Gorlosen,19294,038758
3999,Görmin,17121,039998
4000,Gornau,9405,08586
4001,Gornau,9437,09905
4002,Gornau,9573,Error
4003,Gornhausen,54472,06531
4004,Gornsdorf,9390,Error
4005,Görsbach,99765,036333
4006,Görwihl,79733,07754
4007,Gorxheimertal,69517,06201
4008,Görzke,14828,033847
4009,Göschitz,7907,Error
4010,Goseck,6667,06872
4011,Gösen,7607,Error
4012,Gosen-Neu Zittau,15537,03362
4013,Gösenroth,55624,06544
4014,Gosheim,78559,07426
4015,Goslar,38640,05321
4016,Goslar,38642,05321
4017,Goslar,38644,05321
4018,Goslar,38690,05321
4019,Gössenheim,97780,09358
4020,Gossersweiler-Stein,76857,06345
4021,Gössitz,7389,Error
4022,Gößnitz,4639,02871
4023,Gößweinstein,91327,09242
4024,Gotha,99867,03621
4025,Gottenheim,79288,07665
4026,Gottesgabe,19209,038874
4027,Gotteszell,94239,09929
4028,Gottfrieding,84177,08731
4029,Gotthun,17207,039931
4030,Göttin,21514,04155
4031,Göttingen,37073,0551
4032,Göttingen,37075,0551
4033,Göttingen,37077,0551
4034,Göttingen,37079,0551
4035,Göttingen,37081,0551
4036,Göttingen,37083,0551
4037,Göttingen,37085,0551
4038,Gottmadingen,78244,07734
4039,Graach an der Mosel,54470,06531
4040,Graal-Müritz,18181,0381
4041,Grabau,23845,04535
4042,Grabau,21493,04151
4043,Graben,86836,08232
4044,Gräben,14793,033830
4045,Graben-Neudorf,76676,07255
4046,Grabenstätt,83355,0861
4047,Grabenstetten,72582,07382
4048,Grabfeld,98631,036948
4049,Grabow,19300,038792
4050,Grabowhöfe,17194,039926
4051,Gräfelfing,82166,089
4052,Grafenau,71120,07033
4053,Grafenau,94481,08552
4054,Grafenberg,72661,07123
4055,Gräfenberg,91322,09197
4056,Gräfendhron,54426,06504
4057,Gräfendorf,97782,09357
4058,Grafengehaig,95356,09255
4059,Gräfenhainichen,6772,06302
4060,Gräfenhainichen,6773,06308
4061,Grafenhausen,79865,07748
